,text,text1,text2,tag,tag1,tag2,score1,score2,num_text,num_text1,num_text2,sensitivity(0.6),sensitivity(0.6)(True Tag),sensitivity(0.6)(#text each Tag),precision(0.6),precision(0.6)(True Tag),precision(0.6)(above cutoff),sensitivity(0.7),sensitivity(0.7)(True Tag),sensitivity(0.7)(#text each Tag),precision(0.7),precision(0.7)(True Tag),precision(0.7)(above cutoff),sensitivity(0.8),sensitivity(0.8)(True Tag),sensitivity(0.8)(#text each Tag),precision(0.8),precision(0.8)(True Tag),precision(0.8)(above cutoff)
10,‘전자발찌 훼손 살인범’ 16년전에도 가출소 4개월만에 범죄행각,‘전자발찌 훼손 살인범’ 16년 전에도 출소 넉달 만에 30여차례 강도,서울경찰청장 “‘전자발찌 훼손 살인범’ 집 수색못해 안타까워”,2,2,113,0.7508000135421753,1.0,1717,18,1002,45.45,5,11,38.46,5,13,27.27,3,11,100.0,3,3,0.0,0,11,0.0,0,0
11,'2명 살해' 전자발찌 50대…16년 전에도 흉악범죄 저질러,'여성2명 살해' 전자발찌 50대…16년전도 女타깃 범죄,'여성2명 살해' 전자발찌 50대…16년전도 女타깃 범죄,2,2,2,0.9340000152587891,0.7151871307174692,1717,15,15,63.64,7,11,26.92,7,26,36.36,4,11,57.14,4,7,9.09,1,11,50.0,1,2
12,'여성 2명 살해' 성전과자…가출소 40일만에 '피해자 30명' 넘어,[단독]“출소 40일간 피해女 30여명” 전자발찌 그놈의 16년 전 범행,전자발찌 끊고 여성 2명 살해 전과14범…경찰은 집 앞에서 ‘허탕’,2,2,113,0.7120000123977661,0.6331185989136637,1717,13,1003,27.27,3,11,16.67,3,18,9.09,1,11,33.33,1,3,0.0,0,11,0.0,0,0
13,[단독]“출소 40일간 피해女 30여명” 전자발찌 그놈의 16년 전 범행,‘전자발찌 훼손 살인범’ 16년 전에도 출소 넉달 만에 30여차례 강도,[단독]전자발찌 끊은 살인마 집과 車에서 女시신 2구 나왔다,2,2,113,0.744700014591217,0.6657817609037628,1717,18,1010,54.55,6,11,42.86,6,14,27.27,3,11,100.0,3,3,0.0,0,11,0.0,0,0
14,"'전자발찌 도주' 50대, 16년前 가출소 뒤 연쇄 강도짓",‘전자발찌 훼손 살인범’ 16년 전에도 출소 넉달 만에 30여차례 강도,"[속보] '전자발찌 도주' 50대, 성범죄 2건 등 범죄 경력 14회…법무부 ""더 견고하게 제작하겠다""",2,2,141,0.6721000075340271,0.6876707964291335,1717,18,1318,36.36,4,11,80.0,4,5,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
15,'여성2명 살해' 전자발찌 50대…16년전도 女타깃 범죄,'2명 살해' 전자발찌 50대…16년 전에도 흉악범죄 저질러,"전자발찌 끊은 50대 남, ""여성 둘 살해"" 자수…동기는?",2,2,113,0.9340000152587891,0.8331783931645383,1717,11,1022,81.82,9,11,27.27,9,33,36.36,4,11,28.57,4,14,9.09,1,11,50.0,1,2
16,"송파 50대 살인범, 15년 전 여성만 노린 '노상강도'였다","전자발찌 살인범, 15년 전엔 여성 30여명 무차별 강도·성범죄","1차접종 2천862만2천306명, 인구의 55.7%…50대 접종률 84.5% 마감(종합)",2,2,76,0.6801999807357788,0.5198083019715348,1717,9,695,18.18,2,11,66.67,2,3,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
17,전자발찌 끊고 도주 후 2명 살해···16년 전 연쇄강도짓,‘전자발찌 훼손 살인범’ 16년 전에도 출소 넉달 만에 30여차례 강도,전자발찌 끊고 도주 성범죄자에 사망한 2명…부검 진행,2,2,113,0.7427999973297119,0.8239269829986879,1717,18,1027,45.45,5,11,38.46,5,13,18.18,2,11,66.67,2,3,0.0,0,11,0.0,0,0
18,‘전자발찌 훼손 살인범’ 16년 전에도 출소 넉달 만에 30여차례 강도,‘전자발찌 훼손 살인범’ 16년전에도 가출소 4개월만에 범죄행각,‘전자발찌 훼손 살인범’ 16년전에도 가출소 4개월만에 범죄행각,2,2,2,0.7508000135421753,0.7515957941437035,1717,10,10,63.64,7,11,50.0,7,14,45.45,5,11,71.43,5,7,0.0,0,11,0.0,0,0
19,"[단독]전자발찌 그놈, 지난해 법원의 경고 “재범 위험 높아”",박범계 “전자발찌 대상자 끔찍한 범행…국민께 송구”,[단독]전자발찌 끊은 살인마 집과 車에서 女시신 2구 나왔다,2,74,113,0.5785999894142151,0.7736427122485645,1717,677,1010,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
20,"무협, 'BMW 테스트베드' 본격 추진…""다음달 12일까지 모집""",기술실증 기회…내달 12일까지 'BMW 테스트베드' 참여기업 모집,기술실증 기회…내달 12일까지 'BMW 테스트베드' 참여기업 모집,3,3,3,0.8562999963760376,0.7265624007151572,1717,26,26,77.78,7,9,100.0,7,7,55.56,5,9,100.0,5,5,22.22,2,9,100.0,2,2
21,"무협, BMW 테스트베드 추진…5개 새싹기업에 다양한 지원","무협, ‘BMW 테스트베드’ 추진···BMW그룹코리아와 스타트업 육성 나서","무협, ‘BMW 테스트베드’ 추진···BMW그룹코리아와 스타트업 육성 나서",3,3,3,0.7445999979972839,0.7484016541272251,1717,24,24,77.78,7,9,100.0,7,7,33.33,3,9,100.0,3,3,0.0,0,9,0.0,0,0
22,"무역협회, ‘BMW 테스트베드’ 참여 스타트업 모집","무역협회, BMW 테스트베드 참가 스타트업 모집","무협, 'BMW 테스트베드' 참여 스타트업 모집",3,3,3,0.9668999910354614,1.0,1717,28,23,77.78,7,9,100.0,7,7,66.67,6,9,100.0,6,6,33.33,3,9,100.0,3,3
23,"무협, 'BMW 테스트베드' 참여 스타트업 모집","무역협회, ‘BMW 테스트베드’ 참여 스타트업 모집","무역협회, ‘BMW 테스트베드’ 참여 스타트업 모집",3,3,3,0.9103000164031982,1.0,1717,22,22,77.78,7,9,100.0,7,7,77.78,7,9,100.0,7,7,44.44,4,9,100.0,4,4
24,"무협, ‘BMW 테스트베드’ 추진···BMW그룹코리아와 스타트업 육성 나서","무협, 'BMW 테스트베드' 참여 스타트업 모집","무역협회, BMW 테스트베드 참가 스타트업 모집",3,3,3,0.8416000008583069,0.7820340206002656,1717,23,28,88.89,8,9,100.0,8,8,77.78,7,9,100.0,7,7,11.11,1,9,100.0,1,1
25,"경기창조경제혁신센터, BMW 그룹 코리아와 손잡을 유망 스타트업 모집","무협, ‘BMW 테스트베드’ 추진···BMW그룹코리아와 스타트업 육성 나서","무역협회, BMW 테스트베드 참가 스타트업 모집",3,3,3,0.7016000151634216,0.8635691171396016,1717,24,28,11.11,1,9,100.0,1,1,11.11,1,9,100.0,1,1,0.0,0,9,0.0,0,0
26,기술실증 기회…내달 12일까지 'BMW 테스트베드' 참여기업 모집,"무협, 'BMW 테스트베드' 본격 추진…""다음달 12일까지 모집""","무역협회, BMW 테스트베드 참가 스타트업 모집",3,3,3,0.8562999963760376,0.7811979143122327,1717,20,28,77.78,7,9,100.0,7,7,44.44,4,9,100.0,4,4,11.11,1,9,100.0,1,1
27,"무역협회, 'BMW 테스트베드' 스타트업 모집…기술실증 지원","무역협회, ‘BMW 테스트베드’ 참여 스타트업 모집","무역협회, BMW 테스트베드 참가 스타트업 모집",3,3,3,0.8733000159263611,0.9124909294552944,1717,22,28,77.78,7,9,100.0,7,7,66.67,6,9,100.0,6,6,22.22,2,9,100.0,2,2
28,"무역협회, BMW 테스트베드 참가 스타트업 모집","무역협회, ‘BMW 테스트베드’ 참여 스타트업 모집","무역협회, 'BMW 테스트베드' 스타트업 모집…기술실증 지원",3,3,3,0.9668999910354614,0.9124909294552944,1717,22,27,77.78,7,9,100.0,7,7,55.56,5,9,100.0,5,5,33.33,3,9,100.0,3,3
29,군사작전 방불케 하는 ‘롤’ 우승 트로피 호송··· ADT캡스가 맡았다,"ADT캡스, 'LoL 챔피언스 코리아 서머' 우승 트로피 호송","ADT캡스, 'LoL 챔피언스 코리아 서머' 우승 트로피 호송",4,4,4,0.5914999842643738,1.0,1717,30,30,0.0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,2,0.0,0,0
30,"ADT캡스, 'LoL 챔피언스 코리아 서머' 우승 트로피 호송","ADT캡스, '2021 LCK 서머'  우승 트로피 호송 맡아",군사작전 방불케 하는 ‘롤’ 우승 트로피 호송··· ADT캡스가 맡았다,4,53,4,0.8001000285148621,1.0,1717,479,29,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,1,0.0,0,2,0.0,0,1
31,"재난지원금 지급, 내달 5일 네이버·카카오톡으로 확인한다",네이버앱·카카오톡에서 '국민지원금'  확인하세요,다른 재해보상받더라도 간병비 중복해 산재치료비 지급,5,5,83,0.6854000091552734,0.5050164008747453,1717,37,754,11.11,1,9,14.29,1,7,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
32,"카카오, 행안부와 국민비서 국민지원금 알림 서비스 시작","네이버·카카오, 국민지원금 알림 서비스 시작","카카오, '국민비서' 서비스 시작…""카톡으로 국민지원금 알림 받으세요""",5,47,47,0.864300012588501,1.0000000000000002,1717,417,424,33.33,3,9,25.0,3,12,22.22,2,9,33.33,2,6,0.0,0,9,0.0,0,3
33,국민지원금 대상 늘어났다는데 난 받을 수 있나?…네이버 카카오서 확인 가능,"""국민지원금 받을 수 있나요?""…네이버·카카오, 알림 '띵동'","토스, 국민지원금 알림 서비스 시작…대상·신청시기 확인 가능",5,47,5,0.8212000131607056,0.6872650170878855,1717,431,35,11.11,1,9,6.67,1,15,11.11,1,9,16.67,1,6,0.0,0,9,0.0,0,1
34,"토스, '국민지원금 알림' 신청 접수 시작","토스, ‘국민지원금’ 알림 서비스 시작","토스, ‘국민지원금’ 알림 서비스 시작",5,47,47,0.8378000259399414,0.7020864537067795,1717,432,432,11.11,1,9,20.0,1,5,11.11,1,9,33.33,1,3,11.11,1,9,50.0,1,2
35,"토스, 국민지원금 알림 서비스 시작…대상·신청시기 확인 가능","토스, ‘국민지원금’ 알림 서비스 시작","토스, ‘국민지원금’ 알림 서비스 시작",5,47,47,0.8323000073432922,0.7174518197986296,1717,432,432,22.22,2,9,25.0,2,8,11.11,1,9,50.0,1,2,11.11,1,9,50.0,1,2
36,"네이버-카카오, 국민지원금 알림 서비스 제공","네이버·카카오, 국민지원금 알림 서비스 시작","네이버·카카오·토스, 코로나 국민지원금 알림 서비스 제공",5,47,5,0.8985000252723694,0.9428809399800273,1717,417,38,33.33,3,9,20.0,3,15,22.22,2,9,28.57,2,7,11.11,1,9,25.0,1,4
37,네이버앱·카카오톡에서 '국민지원금'  확인하세요,"네이버·카카오톡 앱에서 '국민비서' 알림 받는다…""코로나 지원금도 확인""","""건강보험료 17만원 내는데 저도 받나요?"" '국민지원금'의 모든 것[Q&A]",5,47,46,0.8805000185966492,1.0,1717,427,415,44.44,4,9,15.38,4,26,11.11,1,9,5.56,1,18,0.0,0,9,0.0,0,7
38,"네이버·카카오·토스, 코로나 국민지원금 알림 서비스 제공",카카오·네이버·토스에서 코로나 국민지원금 알림 서비스 제공,카카오·네이버·토스에서 코로나 국민지원금 알림 서비스 제공,5,47,47,0.9646000266075134,1.0000000000000002,1717,428,428,33.33,3,9,17.65,3,17,22.22,2,9,16.67,2,12,11.11,1,9,25.0,1,4
39,코로나 지원금 30일부터 '네이버·카톡' 알림 접수,"""코로나지원금 얼마 받을까""…네이버앱·카카오톡으로 확인","“코로나 지원금, 나는 얼마?”  네이버·카카오서 확인한다",5,47,47,0.6437000036239624,0.8637241138795467,1717,425,439,0.0,0,9,0.0,0,7,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
40,2분기 해외서 쓴 카드값 34억달러…전년 동기비 80% 급증,2분기 해외 카드값 33억7000만 달러...전년比 80%↑,2분기 해외 카드값 33억7000만 달러...전년比 80%↑,6,6,6,0.8040000200271606,0.8080437567564321,1717,47,47,36.36,4,11,100.0,4,4,36.36,4,11,100.0,4,4,9.09,1,11,100.0,1,1
41,이동제한 완화에…2분기 카드 해외사용액 작년보다 80%↑,2분기 카드 해외사용액 작년보다 80%↑,2분기 카드 해외사용액 작년보다 80%↑,6,6,6,0.9413999915122986,1.0000000000000002,1717,43,43,54.55,6,11,100.0,6,6,36.36,4,11,100.0,4,4,9.09,1,11,100.0,1,1
42,2분기 카드 해외사용 실적만 보면 코로나 거의 극복?,'글로벌 이동완화' 2분기 해외카드사용 증가,이동제한 완화에…2분기 카드 해외사용액 작년보다 80%↑,6,6,6,0.5485000014305115,0.7581037843075022,1717,44,41,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
43,2분기 카드 해외사용액 작년보다 80%↑,이동제한 완화에…2분기 카드 해외사용액 작년보다 80%↑,이동제한 완화에…2분기 카드 해외사용액 작년보다 80%↑,6,6,6,0.9413999915122986,1.0000000000000002,1717,41,41,45.45,5,11,100.0,5,5,36.36,4,11,100.0,4,4,9.09,1,11,100.0,1,1
44,'글로벌 이동완화' 2분기 해외카드사용 증가,"코로나 장기화에도 해외카드사용액 증가…""백신보급·이동제한 해제""","벼 재배 면적, 20년만에 증가…""타작물 지원사업 종료 영향""",6,6,118,0.6565999984741211,0.6437278032302186,1717,48,1058,27.27,3,11,100.0,3,3,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
45,카드 해외 사용실적 31% 증가…급증 배경엔 암호화폐 때문?,"코로나 장기화에도 해외카드사용액 증가…""백신보급·이동제한 해제""","벼 재배 면적, 20년만에 증가…""타작물 지원사업 종료 영향""",6,6,118,0.4715000092983246,0.6437278032302186,1717,48,1058,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
46,코로나에도 여행 '꿈틀'…해외카드 사용 31.7%↑,이동제한 완화에…2분기 카드 해외사용액 작년보다 80%↑,"강남언니 ""비급여가격·치료전후사진·후기 사용 모두 합법""",6,6,81,0.47350001335144043,1.0,1717,41,739,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
47,2분기 해외 카드값 33억7000만 달러...전년比 80%↑,2분기 해외서 쓴 카드값 34억달러…전년 동기비 80% 급증,2분기 해외서 쓴 카드값 34억달러…전년 동기비 80% 급증,6,6,6,0.8040000200271606,0.8080437567564321,1717,40,40,27.27,3,11,100.0,3,3,27.27,3,11,100.0,3,3,9.09,1,11,100.0,1,1
48,"코로나 장기화에도 해외카드사용액 증가…""백신보급·이동제한 해제""",'글로벌 이동완화' 2분기 해외카드사용 증가,"벼 재배 면적, 20년만에 증가…""타작물 지원사업 종료 영향""",6,6,118,0.6565999984741211,0.7736130177204018,1717,44,1058,9.09,1,11,100.0,1,1,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
49,유학생·주재원들 주머니 열었다...해외 카드사용 작년비 80% 급증,2분기 카드 해외사용액 작년보다 80%↑,2분기 해외서 쓴 카드값 34억달러…전년 동기비 80% 급증,6,6,6,0.6395999789237976,0.66950553001261,1717,43,40,18.18,2,11,100.0,2,2,0.0,0,11,0.0,0,0,0.0,0,11,0.0,0,0
50,2분기 카드 해외 사용 80% ‘폭증’,2분기 카드 해외사용액 작년보다 80%↑,이동제한 완화에…2분기 카드 해외사용액 작년보다 80%↑,6,6,6,0.7900999784469604,0.866752797548967,1717,43,41,36.36,4,11,100.0,4,4,27.27,3,11,100.0,3,3,0.0,0,11,0.0,0,0
51,"""명치를 제대로 맞았다""…카불 테러에 탄핵까지 나온 바이든","""당신들은 영웅"" 카불 테러로 숨진 미군 유해 바이든이 직접 맞아","바이든, 카불 테러에 스러진 병사 13명의 유해 공군기지 나가 맞아",7,73,73,0.7188000082969666,0.6453903249599335,1717,661,659,0.0,0,7,0.0,0,1,0.0,0,7,0.0,0,1,0.0,0,7,0.0,0,0
52,"'철군 열망 워낙 커 방법엔 집중 못해'…공화당선 ""바이든 물러나야""","""명치를 제대로 맞았다""…카불 테러에 탄핵까지 나온 바이든",아프간 철군 시한 코앞인데 미국 국적자 250명 철수 못해,7,7,150,0.5873000025749207,0.5825537845449094,1717,51,1386,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0
53,미 국무부 “미국인 즉시 떠나라” 내일 철군시한 앞 긴장 고조,‘법령 미비’ 드러낸 손태승 1심 판결…“하루빨리 제도 정비 나서야”,"보건노조, 4일뒤 총파업 예고 속 내일 복지부와 노정교섭",7,89,153,0.529699981212616,0.6925877805487569,1717,799,1409,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0
54,벼랑 끝 몰린 바이든의 선택은 ‘벼랑 끝 전술’,중간선거 앞둔 바이든 대형 악재…`미군 희생` 놓고 `사임` 목소리도,바다가 일자리다…'2021 해양수산 온라인 취업박람회' 30일 개막,7,7,1,0.5989000201225281,0.0,1717,57,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0
55,'미군 유해 송환' 바이든 최악의 날…공화·민주 비판 봇물,중간선거 앞둔 바이든 대형 악재…`미군 희생` 놓고 `사임` 목소리도,"'침통한 얼굴'의 바이든, 귀국한 미군 13명 유해 맞았다",7,7,73,0.5788000226020813,0.8359494231087266,1717,57,658,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0
56,"꼬이는 아프간 철수, 흔들리는 바이든 리더십","손태승 손 들어준 법원…흔들리는 금감원, 새판짜나","[줌인] 바이든, 아프간의 실패 예멘서도 되풀이하나",7,89,143,0.5357999801635742,0.7743628418976789,1717,794,1321,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0
57,중간선거 앞둔 바이든 대형 악재…`미군 희생` 놓고 `사임` 목소리도,벼랑 끝 몰린 바이든의 선택은 ‘벼랑 끝 전술’,미 돌아온 아프간 희생 미군…직접 나가 경의 표한 바이든,7,7,73,0.5989000201225281,0.7914940927686158,1717,54,660,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0
58,자크 로게 국제올림픽위원회 전 위원장 별세,"국제올림픽위원회 “자크 로게 전 IOC 위원장, 79세로 별세”","""평창"" 발표한 자크 로게 전 IOC 위원장 별세…향년 79세",8,8,8,0.7285000085830688,0.8946590872628473,1717,71,61,18.75,3,16,100.0,3,3,6.25,1,16,100.0,1,1,0.0,0,16,0.0,0,0
59,'미스터 클린' 로게 전 IOC 위원장 별세,‘미스터 클린’ 자크 로게 전 IOC 위원장 별세,`미스터 클린` 로게 전 IOC 위원장 별세…`2018 평창` 발표도,8,8,8,0.9779000282287598,1.0000000000000002,1717,69,62,68.75,11,16,100.0,11,11,43.75,7,16,100.0,7,7,18.75,3,16,100.0,3,3
60,"'미스터 클린' 자크 로게 전 IOC 위원장, 79세로 별세",‘미스터 클린’ 자크 로게 前 IOC위원장 별세… 향년 79세,‘미스터 클린’ 자크 로게 전 IOC 위원장 별세,8,8,8,0.9448000192642212,0.9999999999999999,1717,65,69,68.75,11,16,100.0,11,11,56.25,9,16,100.0,9,9,43.75,7,16,100.0,7,7
61,"""평창"" 발표한 자크 로게 전 IOC 위원장 별세…향년 79세",‘미스터 클린’ 자크 로게 前 IOC위원장 별세… 향년 79세,“평창 2018” 발표했던 자크 로게 전 IOC 위원장 별세,8,8,8,0.8828999996185303,1.0,1717,65,63,68.75,11,16,100.0,11,11,50.0,8,16,100.0,8,8,18.75,3,16,100.0,3,3
62,`미스터 클린` 로게 전 IOC 위원장 별세…`2018 평창` 발표도,“평창 2018” 발표했던 자크 로게 전 IOC 위원장 별세,'미스터 클린' 로게 전 IOC 위원장 별세,8,8,8,0.8988000154495239,1.0000000000000002,1717,63,59,75.0,12,16,100.0,12,12,50.0,8,16,100.0,8,8,18.75,3,16,100.0,3,3
63,“평창 2018” 발표했던 자크 로게 전 IOC 위원장 별세,`미스터 클린` 로게 전 IOC 위원장 별세…`2018 평창` 발표도,"""평창"" 발표한 자크 로게 전 IOC 위원장 별세…향년 79세",8,8,8,0.8988000154495239,1.0,1717,62,61,62.5,10,16,100.0,10,10,43.75,7,16,100.0,7,7,6.25,1,16,100.0,1,1
64,"자크 로게 전 IOC 위원장 79세로, 부패·도핑에 맞선 ‘Mr 클린’","'미스터 클린' 자크 로게 전 IOC 위원장, 79세로 별세",‘2018 평창’ 외치며 韓과 인연...자크 로게 前 IOC 위원장 타계,8,8,8,0.8485999703407288,0.8757894880162571,1717,60,72,62.5,10,16,100.0,10,10,43.75,7,16,100.0,7,7,12.5,2,16,100.0,2,2
65,‘미스터 클린’ 자크 로게 前 IOC위원장 별세… 향년 79세,"'미스터 클린' 자크 로게 전 IOC 위원장, 79세로 별세","'미스터 클린' 자크 로게 전 IOC 위원장, 79세로 별세",8,8,8,0.9448000192642212,0.8574668248606746,1717,60,60,68.75,11,16,100.0,11,11,56.25,9,16,100.0,9,9,31.25,5,16,100.0,5,5
66,"‘미스터 클린’ 자크 로게 전 IOC 위원장, 79세로 사망","'미스터 클린' 자크 로게 전 IOC 위원장, 79세로 별세","'미스터 클린' 자크 로게 전 IOC 위원장, 79세로 별세",8,8,8,0.881600022315979,0.8765691447809595,1717,60,60,56.25,9,16,100.0,9,9,50.0,8,16,100.0,8,8,18.75,3,16,100.0,3,3
67,'2018 평창' 발표한 로게 전 IOC 위원장 별세…개혁 산파 역할,“평창 2018” 발표했던 자크 로게 전 IOC 위원장 별세,"""평창"" 발표한 자크 로게 전 IOC 위원장 별세…향년 79세",8,8,8,0.7734000086784363,0.891791056070335,1717,63,61,25.0,4,16,100.0,4,4,12.5,2,16,100.0,2,2,0.0,0,16,0.0,0,0
68,"""북한, 7월 초 영변 플루토늄 원자로 가동 재개한 듯""｜아침& 지금",[지금은 우주] 내년 8월 우리나라 '달 궤도선' 발사한다,바다가 일자리다…'2021 해양수산 온라인 취업박람회' 30일 개막,8,31,1,0.5819000005722046,0.0,1717,261,0,0.0,0,16,0.0,0,0,0.0,0,16,0.0,0,0,0.0,0,16,0.0,0,0
69,‘미스터 클린’ 자크 로게 전 IOC 위원장 별세,'미스터 클린' 로게 전 IOC 위원장 별세,"'미스터 클린' 자크 로게 전 IOC 위원장, 79세로 별세",8,8,8,0.9779000282287598,0.9999999999999999,1717,59,60,81.25,13,16,86.67,13,15,50.0,8,16,100.0,8,8,25.0,4,16,100.0,4,4
70,"[속보] 자크 로게 전 IOC 위원장, 79세 사망","‘미스터 클린’ 자크 로게 전 IOC 위원장, 79세로 사망",‘2018 평창’ 외치며 韓과 인연...자크 로게 前 IOC 위원장 타계,8,8,8,0.8751999735832214,0.835645180349191,1717,66,72,43.75,7,16,100.0,7,7,31.25,5,16,100.0,5,5,6.25,1,16,100.0,1,1
71,"국제올림픽위원회 “자크 로게 전 IOC 위원장, 79세로 별세”","""평창"" 발표한 자크 로게 전 IOC 위원장 별세…향년 79세","""평창"" 발표한 자크 로게 전 IOC 위원장 별세…향년 79세",8,8,8,0.8475000262260437,1.0,1717,61,61,75.0,12,16,100.0,12,12,37.5,6,16,100.0,6,6,12.5,2,16,100.0,2,2
72,‘2018 평창’ 외치며 韓과 인연...자크 로게 前 IOC 위원장 타계,“평창 2018” 발표했던 자크 로게 전 IOC 위원장 별세,"""평창"" 발표한 자크 로게 전 IOC 위원장 별세…향년 79세",8,8,8,0.7738999724388123,0.8886419086830648,1717,63,61,37.5,6,16,85.71,6,7,12.5,2,16,100.0,2,2,0.0,0,16,0.0,0,0
73,'부패 척결·평창올림픽 발표' 자크 로게 前 IOC 위원장 별세,‘미스터 클린’ 자크 로게 전 IOC 위원장 별세,"""평창"" 발표한 자크 로게 전 IOC 위원장 별세…향년 79세",8,8,8,0.7940000295639038,0.9267708643075241,1717,69,61,75.0,12,16,63.16,12,19,31.25,5,16,100.0,5,5,0.0,0,16,0.0,0,0
